,ETH→SOL_n,SOL→ETH_n,ETH→SOL_pnl,SOL→ETH_pnl,n_total,pnl_total,pnl_cumulative
2025-07-13,38.0,48.0,508.32365300000004,689.267151,86.0,1197.590804,106648.48357099999
2025-07-14,61.0,63.0,-215.0180929999999,1853.685013,124.0,1638.6669200000001,108287.150491
2025-07-15,21.0,44.0,-28.579057999999996,761.468075,65.0,732.889017,109020.03950799999
2025-07-16,48.0,130.0,690.845233,2411.148136,178.0,3101.993369,112122.03287699999
2025-07-17,34.0,91.0,370.61167900000004,1892.348954,125.0,2262.960633,114384.99350999999
2025-07-18,45.0,72.0,581.089796,1032.197137,117.0,1613.286933,115998.28044299998
2025-07-19,32.0,51.0,1963.387045,1178.843537,83.0,3142.230582,119140.51102499999
2025-07-20,36.0,61.0,697.575555,1409.835842,97.0,2107.411397,121247.92242199999
2025-07-21,92.0,38.0,955.2348440000001,605.359361,130.0,1560.594205,122808.51662699999
2025-07-22,50.0,35.0,353.199068,492.907462,85.0,846.10653,123654.623157
2025-07-23,27.0,43.0,76.24695299999999,83.404654,70.0,159.65160699999998,123814.274764
2025-07-24,52.0,89.0,204.415153,871.777514,141.0,1076.192667,124890.467431
2025-07-25,79.0,98.0,-424.008569,766.356598,177.0,342.34802899999994,125232.81546
2025-07-26,42.0,81.0,189.402871,584.427179,123.0,773.83005,126006.64551
2025-07-27,59.0,89.0,901.984409,544.316739,148.0,1446.301148,127452.946658
2025-07-28,78.0,63.0,1221.033187,151.61910000000006,141.0,1372.6522870000001,128825.598945
2025-07-29,47.0,66.0,518.985529,685.169547,113.0,1204.155076,130029.754021
2025-07-30,37.0,21.0,4993.211403,245.406288,58.0,5238.617691,135268.371712
2025-07-31,50.0,49.0,-814.7464829999999,738.794662,99.0,-75.95182099999988,135192.419891
2025-08-01,63.0,46.0,531.72061,280.156694,109.0,811.877304,136004.297195
2025-08-02,53.0,55.0,1041.747899,732.674803,108.0,1774.4227019999998,137778.719897
2025-08-03,46.0,85.0,1962.237366,306.445356,131.0,2268.682722,140047.402619
2025-08-04,42.0,87.0,583.442131,826.178817,129.0,1409.620948,141457.023567
2025-08-05,43.0,76.0,188.72367,299.737104,119.0,488.460774,141945.484341
2025-08-06,46.0,49.0,205.61661099999998,504.925407,95.0,710.542018,142656.026359
2025-08-07,47.0,71.0,165.92992999999998,1019.793584,118.0,1185.723514,143841.74987300002
2025-08-08,39.0,53.0,268.197058,199.458072,92.0,467.65513,144309.40500300002
2025-08-09,45.0,89.0,50.723919,439.617912,134.0,490.341831,144799.74683400002
2025-08-10,51.0,52.0,290.602113,815.476191,103.0,1106.078304,145905.82513800001
2025-08-11,56.0,80.0,206.35240700000003,1117.480426,136.0,1323.8328330000002,147229.657971
2025-08-12,38.0,66.0,821.331533,2506.181709,104.0,3327.513242,150557.171213
2025-08-13,30.0,34.0,-1018.818228,211.300306,64.0,-807.517922,149749.653291
2025-08-14,48.0,51.0,170.506729,2212.147215,99.0,2382.653944,152132.307235
2025-08-15,37.0,54.0,95.0359,1126.529426,91.0,1221.5653260000001,153353.872561
2025-08-16,23.0,52.0,81.487906,227.707287,75.0,309.195193,153663.067754
2025-08-17,38.0,37.0,604.499685,1024.7298720000001,75.0,1629.229557,155292.297311
2025-08-18,35.0,43.0,-369.28213800000003,28.884413000000002,78.0,-340.39772500000004,154951.899586
2025-08-19,29.0,33.0,-690.0112750000001,349.75984700000004,62.0,-340.25142800000003,154611.64815800003
2025-08-20,37.0,37.0,-73.33875099999997,201.81295100000003,74.0,128.47420000000005,154740.12235800002
2025-08-21,21.0,47.0,66.240028,349.249617,68.0,415.489645,155155.61200300002
2025-08-22,19.0,49.0,488.66086,462.817332,68.0,951.478192,156107.09019500003
2025-08-23,38.0,26.0,371.662105,22.042645,64.0,393.70475,156500.79494500003
2025-08-24,22.0,37.0,31.420686,306.990767,59.0,338.411453,156839.20639800004
2025-08-25,43.0,32.0,257.826878,109.86221599999999,75.0,367.689094,157206.89549200004
2025-08-26,21.0,35.0,-15.966559,761.1261509999999,56.0,745.159592,157952.05508400005
2025-08-27,45.0,14.0,147.795917,148.784179,59.0,296.580096,158248.63518000004
2025-08-28,53.0,24.0,257.401766,347.362701,77.0,604.764467,158853.39964700004
2025-08-29,51.0,71.0,-30.71180999999998,781.671666,122.0,750.959856,159604.35950300004
2025-08-30,19.0,36.0,234.08304099999998,114.849427,55.0,348.932468,159953.29197100006
2025-08-31,11.0,30.0,23.652008000000002,95.742597,41.0,119.39460500000001,160072.68657600007
2025-09-01,17.0,29.0,185.49547,2308.0556579999998,46.0,2493.5511279999996,162566.23770400006
2025-09-02,41.0,45.0,289.743884,379.87255,86.0,669.616434,163235.85413800005
2025-09-03,30.0,42.0,187.300005,260.493073,72.0,447.793078,163683.64721600004
2025-09-04,27.0,41.0,263.908193,169.686469,68.0,433.59466199999997,164117.24187800003
2025-09-05,30.0,30.0,296.133823,222.88431599999998,60.0,519.018139,164636.26001700002
2025-09-06,13.0,27.0,-25.194959000000008,244.630985,40.0,219.436026,164855.69604300003
2025-09-07,9.0,16.0,107.82724,-121.25463500000001,25.0,-13.427395000000004,164842.26864800003
2025-09-08,41.0,13.0,275.751219,11.225152999999999,54.0,286.97637199999997,165129.24502000003
2025-09-09,56.0,26.0,2260.314595,389.160004,82.0,2649.4745989999997,167778.71961900004
2025-09-10,33.0,24.0,302.057886,211.858536,57.0,513.916422,168292.63604100005
2025-09-11,29.0,24.0,341.51994,343.154423,53.0,684.6743630000001,168977.31040400005
2025-09-12,66.0,50.0,809.542418,686.591852,116.0,1496.13427,170473.44467400006
2025-09-13,24.0,55.0,169.080729,392.437079,79.0,561.517808,171034.96248200006
2025-09-14,57.0,46.0,-299.383133,205.766517,103.0,-93.616616,170941.34586600005
2025-09-15,30.0,46.0,142.402462,135.035892,76.0,277.438354,171218.78422000006
2025-09-16,28.0,34.0,199.38602,110.57809300000001,62.0,309.964113,171528.74833300005
2025-09-17,27.0,24.0,479.959379,199.873142,51.0,679.832521,172208.58085400006
2025-09-18,29.0,18.0,355.23744999999997,100.600825,47.0,455.83827499999995,172664.41912900005
2025-09-19,16.0,37.0,117.002633,99.467742,53.0,216.470375,172880.88950400005
2025-09-20,24.0,30.0,-764.737295,597.8126249999999,54.0,-166.9246700000001,172713.96483400004
2025-09-21,26.0,35.0,95.28567899999999,-9.966698999999995,61.0,85.31898,172799.28381400005
2025-09-22,41.0,44.0,540.351987,651.9746759999999,85.0,1192.3266629999998,173991.61047700007
2025-09-23,26.0,38.0,242.394244,407.759591,64.0,650.153835,174641.76431200007
2025-09-24,40.0,56.0,998.777509,327.647276,96.0,1326.424785,175968.18909700008
2025-09-25,31.0,49.0,93.31703099999999,335.541048,80.0,428.858079,176397.04717600008
2025-09-26,24.0,41.0,85.17447899999999,438.26027300000004,65.0,523.434752,176920.48192800008
2025-09-27,20.0,20.0,108.124793,103.008631,40.0,211.133424,177131.61535200008
2025-09-28,31.0,49.0,316.986249,259.64986600000003,80.0,576.636115,177708.25146700008
2025-09-29,22.0,43.0,267.489579,273.616701,65.0,541.10628,178249.3577470001
2025-09-30,32.0,47.0,170.232053,522.562998,79.0,692.7950510000001,178942.15279800008
2025-10-01,15.0,28.0,136.362823,527.261988,43.0,663.6248109999999,179605.77760900007
2025-10-02,54.0,37.0,2303.544859,354.840609,91.0,2658.385468,182264.16307700006
2025-10-03,28.0,41.0,264.14714000000004,401.624048,69.0,665.771188,182929.93426500008
2025-10-04,14.0,35.0,55.817717,121.228684,49.0,177.046401,183106.98066600008
2025-10-05,32.0,66.0,426.51851800000003,314.752404,98.0,741.270922,183848.25158800007
2025-10-06,52.0,42.0,692.947061,104.094014,94.0,797.041075,184645.29266300006
2025-10-07,38.0,38.0,-6.594846000000036,571.99657,76.0,565.401724,185210.69438700005
2025-10-08,41.0,31.0,496.435515,-46.104725999999985,72.0,450.33078900000004,185661.02517600005
2025-10-09,38.0,35.0,197.237686,9.870956999999994,73.0,207.108643,185868.13381900007
2025-10-10,34.0,44.0,2362.335396,2113.41137,78.0,4475.746766,190343.88058500006
2025-10-11,43.0,94.0,740.735517,1014.9157700000001,137.0,1755.6512870000001,192099.53187200005
2025-10-12,39.0,68.0,1223.17944,298.705651,107.0,1521.885091,193621.41696300005
2025-10-13,40.0,43.0,372.032366,-121.31672,83.0,250.71564600000002,193872.13260900005
2025-10-14,27.0,56.0,9.05342600000004,413.61355299999997,83.0,422.666979,194294.79958800005
2025-10-15,30.0,35.0,122.641265,46.814800000000005,65.0,169.45606500000002,194464.25565300006
2025-10-16,25.0,41.0,106.439174,-62.79054500000001,66.0,43.648628999999985,194507.90428200006
2025-10-17,45.0,30.0,1217.776588,87.338103,75.0,1305.114691,195813.01897300006
2025-10-18,14.0,18.0,103.982267,73.578862,32.0,177.561129,195990.58010200007
2025-10-19,11.0,40.0,26.13464,69.026667,51.0,95.16130700000001,196085.74140900007
2025-10-20,30.0,47.0,374.995244,266.671598,77.0,641.6668420000001,196727.40825100007
2025-10-21,20.0,47.0,98.748599,113.550745,67.0,212.29934400000002,196939.70759500007
2025-10-22,20.0,33.0,258.520231,197.33826000000002,53.0,455.8584910000001,197395.56608600006
2025-10-23,24.0,26.0,66.014391,81.939385,50.0,147.953776,197543.51986200007
2025-10-24,39.0,55.0,464.41020000000003,535.560129,94.0,999.970329,198543.49019100008
2025-10-25,9.0,22.0,26.00726,111.007884,31.0,137.015144,198680.50533500008
2025-10-26,21.0,41.0,165.478327,152.921324,62.0,318.399651,198998.9049860001
2025-10-27,31.0,85.0,612.356796,549.928342,116.0,1162.2851380000002,200161.1901240001
2025-10-28,41.0,73.0,515.079835,-276.449757,114.0,238.63007800000003,200399.8202020001
2025-10-29,62.0,61.0,510.845504,843.333098,123.0,1354.178602,201753.9988040001
2025-10-30,38.0,41.0,-32.019643,176.40254099999999,79.0,144.38289799999998,201898.3817020001
2025-10-31,27.0,46.0,141.679049,363.10399,73.0,504.78303900000003,202403.1647410001
2025-11-01,23.0,42.0,1645.623114,265.678476,65.0,1911.30159,204314.4663310001
2025-11-02,22.0,38.0,278.72774,12.975172999999998,60.0,291.70291299999997,204606.16924400008
2025-11-03,52.0,83.0,362.880985,323.012017,135.0,685.893002,205292.06224600007
2025-11-04,65.0,77.0,678.589886,866.9506269999999,142.0,1545.540513,206837.6027590001
2025-11-05,47.0,52.0,492.349118,753.846041,99.0,1246.1951589999999,208083.79791800008
2025-11-06,29.0,20.0,397.315209,47.212417,49.0,444.527626,208528.32554400008
2025-11-07,31.0,57.0,891.698406,574.870251,88.0,1466.568657,209994.89420100008
2025-11-08,28.0,62.0,274.058644,2.197562999999998,90.0,276.256207,210271.15040800007
2025-11-09,18.0,80.0,98.725165,630.286256,98.0,729.0114209999999,211000.16182900008
2025-11-10,44.0,80.0,-879.9427909999999,1870.4161000000001,124.0,990.4733090000002,211990.63513800007
2025-11-11,62.0,70.0,630.028846,174.05032,132.0,804.079166,212794.71430400008
2025-11-12,69.0,101.0,286.001947,750.260729,170.0,1036.2626759999998,213830.9769800001
2025-11-13,46.0,93.0,279.074403,190.099259,139.0,469.17366200000004,214300.15064200008
2025-11-14,34.0,63.0,154.822207,303.347076,97.0,458.169283,214758.31992500008
2025-11-15,23.0,57.0,60.512532,294.356289,80.0,354.868821,215113.1887460001
2025-11-16,24.0,36.0,50.093481000000004,176.707411,60.0,226.800892,215339.9896380001
2025-11-17,27.0,38.0,87.70913200000001,123.345054,65.0,211.05418600000002,215551.04382400008
2025-11-18,22.0,24.0,128.946003,125.100495,46.0,254.04649799999999,215805.0903220001
2025-11-19,31.0,42.0,246.266394,38.383757,73.0,284.650151,216089.7404730001
2025-11-20,50.0,47.0,614.178293,393.34701700000005,97.0,1007.5253100000001,217097.2657830001
2025-11-21,38.0,56.0,552.472839,305.686611,94.0,858.1594500000001,217955.4252330001
2025-11-22,39.0,72.0,1644.13638,999.919785,111.0,2644.056165,220599.4813980001
2025-11-23,19.0,47.0,-94.43007200000001,105.067061,66.0,10.636988999999986,220610.11838700008
2025-11-24,45.0,45.0,71.615719,55.642686999999995,90.0,127.258406,220737.3767930001
2025-11-25,17.0,49.0,38.392923,60.81984800000001,66.0,99.212771,220836.58956400008
2025-11-26,22.0,51.0,1691.7594139999999,19.894897999999998,73.0,1711.654312,222548.24387600008
2025-11-27,29.0,46.0,343.171921,217.864595,75.0,561.036516,223109.28039200007
2025-11-28,26.0,54.0,103.262816,127.175275,80.0,230.438091,223339.71848300006
2025-11-29,28.0,35.0,251.372363,81.14414500000001,63.0,332.51650800000004,223672.23499100006
2025-11-30,14.0,23.0,126.226103,25.218967,37.0,151.44507,223823.68006100005
2025-12-01,32.0,42.0,75.111485,32.413235,74.0,107.52472,223931.20478100004
2025-12-02,38.0,38.0,102.91022,130.746836,76.0,233.657056,224164.86183700003
2025-12-03,52.0,49.0,1623.403073,107.75609,101.0,1731.159163,225896.02100000004
2025-12-04,35.0,39.0,158.222378,363.930164,74.0,522.152542,226418.17354200003
2025-12-05,25.0,84.0,121.64193,646.591965,109.0,768.233895,227186.40743700005
2025-12-06,31.0,42.0,209.407142,205.855708,73.0,415.26284999999996,227601.67028700004
2025-12-07,32.0,64.0,18.876004000000016,1868.214565,96.0,1887.090569,229488.76085600004
2025-12-08,33.0,65.0,-1093.086693,455.60312300000004,98.0,-637.4835699999999,228851.27728600003
2025-12-09,13.0,34.0,198.842388,698.7101849999999,47.0,897.5525729999999,229748.82985900002
2025-12-10,19.0,72.0,31.759158,747.715433,91.0,779.4745909999999,230528.30445000003
2025-12-11,38.0,23.0,68.24277899999998,94.18896,61.0,162.431739,230690.73618900002
2025-12-12,29.0,31.0,70.41678,188.054222,60.0,258.471002,230949.20719100002
2025-12-13,7.0,14.0,58.737659,37.234472,21.0,95.97213099999999,231045.179322
2025-12-14,26.0,23.0,225.32995400000001,-253.657047,49.0,-28.32709299999999,231016.852229
2025-12-15,58.0,61.0,1363.0042329999999,649.559631,119.0,2012.5638639999997,233029.416093
2025-12-16,84.0,122.0,410.430146,2011.161082,206.0,2421.5912280000002,235451.007321
2025-12-17,60.0,57.0,294.73883,208.38078,117.0,503.11960999999997,235954.126931
2025-12-18,24.0,56.0,58.598154999999984,54.27701100000001,80.0,112.875166,236067.00209700002
2025-12-19,27.0,58.0,742.723034,64.12383,85.0,806.846864,236873.848961
2025-12-20,12.0,28.0,121.866346,26.870468,40.0,148.73681399999998,237022.585775
2025-12-21,27.0,20.0,497.885087,3.5416980000000002,47.0,501.426785,237524.01256
2025-12-22,42.0,66.0,596.461742,458.141645,108.0,1054.6033869999999,238578.615947
2025-12-23,27.0,26.0,50.770987999999996,77.373684,53.0,128.14467199999999,238706.760619
2025-12-24,17.0,30.0,128.117071,44.917394,47.0,173.034465,238879.795084
2025-12-25,8.0,27.0,-16.611127000000003,132.834965,35.0,116.223838,238996.01892200002
2025-12-26,13.0,21.0,-16.824707000000004,7.732849,34.0,-9.091858000000004,238986.92706400002
2025-12-27,6.0,7.0,10.87564,24.166035,13.0,35.041675,239021.968739
2025-12-28,11.0,21.0,82.17029,49.510467,32.0,131.680757,239153.649496
2025-12-29,31.0,28.0,259.204086,144.573914,59.0,403.778,239557.427496
2025-12-30,11.0,26.0,-0.08892600000000028,47.978195,37.0,47.889269,239605.316765
2025-12-31,30.0,46.0,53.168345,134.06941,76.0,187.237755,239792.55452
2026-01-01,33.0,36.0,283.24214900000004,405.89703099999997,69.0,689.13918,240481.6937
2026-01-02,51.0,64.0,354.548965,184.251745,115.0,538.80071,241020.49441
2026-01-03,25.0,40.0,334.663325,-30.108612999999995,65.0,304.554712,241325.04912200003
2026-01-04,22.0,51.0,3.173637000000002,221.206112,73.0,224.379749,241549.42887100004
2026-01-05,30.0,49.0,169.429449,191.728318,79.0,361.15776700000004,241910.58663800004
2026-01-06,31.0,73.0,328.262632,799.772112,104.0,1128.034744,243038.62138200004
2026-01-07,19.0,35.0,52.449077,38.323606000000005,54.0,90.772683,243129.39406500003
2026-01-08,35.0,26.0,93.455267,183.598331,61.0,277.053598,243406.44766300003
2026-01-09,19.0,72.0,148.35312,76.12768000000001,91.0,224.4808,243630.92846300002
2026-01-10,17.0,49.0,155.023561,130.65241699999999,66.0,285.675978,243916.60444100003
2026-01-11,23.0,27.0,130.767223,33.923518,50.0,164.690741,244081.29518200003
2026-01-12,27.0,26.0,58.668772,39.466468,53.0,98.13524,244179.43042200003
2026-01-13,19.0,61.0,260.21943699999997,233.160995,80.0,493.380432,244672.81085400004
2026-01-14,19.0,37.0,88.558655,230.522987,56.0,319.081642,244991.89249600004
2026-01-15,23.0,42.0,243.088548,269.561389,65.0,512.649937,245504.54243300005
2026-01-16,46.0,41.0,255.94009400000002,608.308702,87.0,864.2487960000001,246368.79122900005
2026-01-17,22.0,28.0,865.367715,36.949716,50.0,902.3174309999999,247271.10866000006
2026-01-18,16.0,66.0,-40.460902000000004,189.407389,82.0,148.946487,247420.05514700006
2026-01-19,45.0,42.0,361.483967,140.489813,87.0,501.97378000000003,247922.02892700006
2026-01-20,37.0,27.0,236.633736,49.37512,64.0,286.008856,248208.03778300007
2026-01-21,30.0,44.0,100.665887,32.068529999999996,74.0,132.734417,248340.77220000006
2026-01-22,21.0,33.0,43.292837,640.572038,54.0,683.864875,249024.63707500006
2026-01-23,11.0,29.0,9.425986,126.945686,40.0,136.371672,249161.00874700007
2026-01-24,15.0,31.0,44.942296,70.506389,46.0,115.448685,249276.45743200008
2026-01-25,25.0,41.0,-27.424202,111.991784,66.0,84.56758199999999,249361.02501400007
2026-01-26,37.0,59.0,341.257523,272.762794,96.0,614.020317,249975.04533100006
2026-01-27,23.0,42.0,121.631447,49.214363,65.0,170.84581,250145.89114100006
2026-01-28,20.0,38.0,37.13139,228.163261,58.0,265.294651,250411.18579200006
2026-01-29,31.0,36.0,100.541945,32.581234,67.0,133.123179,250544.30897100005
2026-01-30,63.0,31.0,216.600531,938.927363,94.0,1155.527894,251699.83686500005
2026-01-31,73.0,55.0,3282.567346,389.994933,128.0,3672.5622789999998,255372.39914400005
2026-02-01,40.0,39.0,244.210742,59.736576,79.0,303.947318,255676.34646200004
2026-02-02,63.0,44.0,133.096158,133.877066,107.0,266.973224,255943.31968600003
2026-02-03,42.0,48.0,-3.7500469999999986,30.027822999999994,90.0,26.277775999999996,255969.59746200003
2026-02-04,26.0,44.0,51.486283,111.009552,70.0,162.495835,256132.09329700004
2026-02-05,30.0,59.0,46.917557,399.364832,89.0,446.28238899999997,256578.37568600004
2026-02-06,52.0,94.0,190.222632,4597.677657,146.0,4787.900289,261366.27597500006
2026-02-07,21.0,39.0,28.993644999999997,53.713575,60.0,82.70721999999999,261448.98319500007
2026-02-08,22.0,44.0,22.543641,25.186287,66.0,47.729928,261496.71312300005
2026-02-09,42.0,27.0,232.844939,117.298124,69.0,350.143063,261846.85618600005
2026-02-10,40.0,35.0,24.536989000000002,149.171281,75.0,173.70827,262020.56445600005
2026-02-11,37.0,58.0,301.39428799999996,316.770514,95.0,618.164802,262638.72925800004
2026-02-12,9.0,28.0,22.153896000000003,47.307303000000005,37.0,69.46119900000001,262708.19045700005
2026-02-13,15.0,16.0,19.770497,-63.543695,31.0,-43.773198,262664.41725900007
2026-02-14,23.0,41.0,26.601202,148.06804,64.0,174.669242,262839.08650100004
2026-02-15,68.0,22.0,102.723631,53.647013,90.0,156.370644,262995.45714500005
2026-02-16,33.0,51.0,270.898258,515.706916,84.0,786.605174,263782.0623190001
2026-02-17,19.0,25.0,9.920976999999999,47.22099500000001,44.0,57.14197200000001,263839.2042910001
2026-02-18,39.0,31.0,112.108202,51.6184,70.0,163.726602,264002.9308930001
2026-02-19,21.0,28.0,77.635582,64.488534,49.0,142.12411600000001,264145.0550090001
2026-02-20,33.0,18.0,105.389311,212.738611,51.0,318.127922,264463.18293100013
